Index,Average Preprocessing Latency (ms),Average Inference Latency (ms),Average Postprocessing Latency (ms),Average Total Latency (ms)
1,5.2,589.0,1.8,596.0
2,5.2,597.6,1.9,604.7
3,5.7,491.0,1.6,498.3
4,8.0,476.4,2.9,487.29999999999995
5,3.8,652.7,1.4,657.9
6,7.2,539.8,2.1,549.1
7,26.8,593.5,2.2,622.5
8,14.8,683.8,1.9,700.4999999999999
9,7.2,587.4,2.3,596.9
10,4.4,605.5,2.3,612.1999999999999
11,4.9,606.9,1.9,613.6999999999999
12,5.6,656.5,2.8,664.9
13,7.4,532.9,2.1,542.4
14,9.4,480.7,2.3,492.4
15,17.1,590.7,1.8,609.6
16,4.5,553.2,2.9,560.6
17,6.0,572.8,2.4,581.1999999999999
18,4.0,511.9,2.1,518.0
19,8.0,558.5,2.4,568.9
20,5.4,500.4,1.8,507.59999999999997
21,4.4,518.4,1.9,524.6999999999999
22,3.1,471.6,1.7,476.40000000000003
23,4.3,517.2,1.7,523.2
24,3.4,554.1,3.4,560.9
25,9.0,467.8,1.7,478.5
26,6.6,528.3,1.6,536.5
27,5.3,457.0,1.7,464.0
28,3.7,569.2,1.8,574.7
29,4.6,493.4,1.6,499.6
30,3.2,483.1,1.7,488.0
31,3.3,556.5,2.2,562.0
32,6.3,563.9,2.6,572.8
33,3.7,546.8,1.9,552.4
34,6.3,680.8,2.0,689.0999999999999
35,5.4,585.8,1.9,593.0999999999999
36,3.6,660.2,1.9,665.7
37,8.4,749.7,2.3,760.4
38,5.8,521.4,2.3,529.4999999999999
39,34.9,592.3,1.5,628.6999999999999
40,4.5,608.5,3.0,616.0
41,11.1,840.2,2.7,854.0000000000001
42,17.5,341.9,10.2,369.59999999999997
43,2.4,444.9,1.8,449.09999999999997
44,6.8,446.1,2.0,454.90000000000003
45,2.6,351.0,1.5,355.1
46,3.6,407.8,2.4,413.8
47,2.6,433.2,1.5,437.3
48,9.8,577.9,4.1,591.8
49,6.8,658.6,1.6,667.0
50,3.6,592.2,1.9,597.7
51,5.7,711.9,1.8,719.4
52,3.9,603.0,2.2,609.1
53,9.8,577.0,1.5,588.3
54,8.0,659.6,4.2,671.8000000000001
55,4.2,986.5,4.8,995.5
56,4.8,841.9,2.4,849.0999999999999
57,6.5,778.8,4.1,789.4
58,25.3,813.7,3.4,842.4
59,4.0,765.3,2.0,771.3
60,6.1,749.2,1.8,757.1
61,3.0,669.3,2.6,674.9
62,5.4,716.7,2.1,724.2
63,8.3,851.7,12.0,872.0
64,6.5,803.9,3.4,813.8
65,4.5,891.5,2.8,898.8
66,5.8,767.4,2.6,775.8
67,3.5,770.4,2.7,776.6
68,4.7,747.7,2.5,754.9000000000001
69,3.3,714.2,3.2,720.7
70,5.1,695.2,1.8,702.1
71,3.6,652.2,3.5,659.3000000000001
72,4.2,650.9,1.9,657.0
73,4.1,653.5,2.0,659.6
74,5.0,631.6,2.2,638.8000000000001
75,2.9,654.2,2.2,659.3000000000001
76,4.1,606.0,1.6,611.7
77,4.2,687.0,1.6,692.8000000000001
78,13.4,644.2,2.3,659.9
79,5.1,777.9,2.8,785.8
80,5.8,719.2,1.8,726.8
81,8.9,829.6,1.6,840.1
82,11.7,784.5,2.1,798.3000000000001
83,5.8,732.4,2.2,740.4
84,4.9,782.4,5.2,792.5
85,15.0,675.7,2.5,693.2
86,10.9,652.1,1.8,664.8
87,6.7,806.7,1.8,815.2
88,11.5,745.2,2.7,759.4000000000001
89,4.1,917.3,3.3,924.6999999999999
90,4.0,1137.8,49.0,1190.8
91,34.4,922.7,3.2,960.3000000000001
92,4.8,684.2,2.6,691.6
93,3.4,1876.4,6.9,1886.7000000000003
94,102.4,2031.9,13.0,2147.3
95,21.0,1303.3,7.1,1331.3999999999999
96,11.7,978.4,10.6,1000.7
97,17.7,850.8,2.0,870.5
98,6.5,891.6,1.8,899.9
99,5.8,961.6,4.9,972.3
100,907.4,4.6,,
